GoldLabel,Premise,Hypothesis,PairID,PremiseSubj,PremiseRel,PremiseObj,HypothesisSubj,HypothesisRel,HypothesisObj
0,nixon sent to gandhi,person replaced nixon,P11589,nixon,sent to,gandhi,person,replaced,nixon
0,the hind had arrived in england,animal represents england,P1117,the hind,had arrived in,england,animal,represents,england
0,all stalin had become addicts,person succeeded stalin,P12269,all stalin,had become,addicts,person,succeeded,stalin
0,virginia ratified the treaty with france,state was purchased from france,P15112,virginia,ratified the treaty with,france,state,was purchased from,france
0,old raleigh had come to lincoln,person murdered lincoln,P10917,old raleigh,had come to,lincoln,person,murdered,lincoln
0,this buffer can be stored at temperature,device measures temperature,P3944,this buffer,can be stored at,temperature,device,measures,temperature
0,a wire is held at a temperature,device measures temperature,P4021,a wire,is held at,a temperature,device,measures,temperature
0,horace greeley wrote after the civil war,person fought in the civil war,P8707,horace greeley,wrote after,the civil war,person,fought in,the civil war
1,the electrodes are usually made of platinum,device is made of platinum,P3460,the electrodes,are usually made of,platinum,device,is made of,platinum
0,the queen fixed upon a maiden,person gave birth to the queen,P8908,the queen,fixed upon,a maiden,person,gave birth to,the queen
1,poverty is concentrated in asia,continent suffers from poverty,P3069,poverty,is concentrated in,asia,continent,suffers from,poverty
0,roosevelt had brought as housekeeper,person was president after roosevelt,P13127,roosevelt,had brought as,housekeeper,person,was president after,roosevelt
0,stalin never used the foreign communists,person succeeded stalin,P12311,stalin,never used,the foreign communists,person,succeeded,stalin
0,pompey remained in italy,city is the capital of italy,P2826,pompey,remained in,italy,city,is the capital of,italy
0,cancer exposed to anticonvulsant drugs,drug kills cancer,P4519,cancer,exposed to,anticonvulsant drugs,drug,kills,cancer
0,the band stood about the jews,person plays in a band,P11133,the band,stood about,the jews,person,plays in,a band
0,diamonds were used to decorate infants,person made a fortune from diamonds,P10787,diamonds,were used to decorate,infants,person,made a fortune from,diamonds
1,cleveland ordered out the troops,united states president committed troops,P15834,cleveland,ordered out,the troops,united states president,committed,troops
1,america possessed elephants,animal lives in america,P818,america,possessed,elephants,animal,lives in,america
0,erythrocytes carry oxygen to the tissues,living thing rebuilds tissue,P5669,erythrocytes,carry oxygen to,the tissues,living thing,rebuilds,tissue
1,a thermistor is used to monitor the temperature,device measures temperature,P4003,a thermistor,is used to monitor,the temperature,device,measures,temperature
0,a brother had emigrated to australia,person discovered australia,P8142,a brother,had emigrated to,australia,person,discovered,australia
0,metals may be used as oscillators,device is made of metal,P3540,metals,may be used as,oscillators,device,is made of,metal
0,this monastery was established by a pupil,person lives in a monastery,P10603,this monastery,was established by,a pupil,person,lives in,a monastery
0,similar anchorites might have been seen in egypt,person ruled egypt,P11934,similar anchorites,might have been seen in,egypt,person,ruled,egypt
0,the valuable skins were transported to russia,material is abundant in russia,P6052,the valuable skins,were transported to,russia,material,is abundant in,russia
0,feynman was summoned to alamos,person died at the alamo,P8092,feynman,was summoned to,alamos,person,died at,the alamo
0,the radio has been used as an medium,person invented the radio,P9423,the radio,has been used as,an medium,person,invented,the radio
0,the crops were safe from the deer,animal eats crops,P306,the crops,were safe from,the deer,animal,eats,crops
1,zoology is the study of animals,science researches animals,P14660,zoology,is the study of,animals,science,researches,animals
0,bones may lose salts,chemical is essential for bones,P2127,bones,may lose,salts,chemical,is essential for,bones
0,bones however are by the manure,chemical is essential for bones,P2129,bones,however are by,the manure,chemical,is essential for,bones
0,the american prisoners embarked for new york,person is a politician from new york,P9556,the american prisoners,embarked for,new york,person,is a politician from,new york
0,these young men are the spirit of america,person was born in america,P12610,these young men,are the spirit of,america,person,was born in,america
1,hops are ingredients of beer,plant life is used to make beer,P14315,hops,are ingredients of,beer,plant life,is used to make,beer
1,strep throat can lead to fever,disease causes fever,P4087,strep throat,can lead to,fever,disease,causes,fever
0,stalin was informed by truman,united states president met stalin,P15892,stalin,was informed by,truman,united states president,met,stalin
0,taylor belongs to new york,person is a politician from new york,P9596,taylor,belongs to,new york,person,is a politician from,new york
0,silicon consists of black needles,device is made of silicon,P3572,silicon,consists of,black needles,device,is made of,silicon
0,noam chomsky lectures on government,person is employed by the government,P9772,noam chomsky,lectures on,government,person,is employed by,the government
1,the temperature should be monitored with a probe,device measures temperature,P4001,the temperature,should be monitored with,a probe,device,measures,temperature
0,france exercised at an date,calendar day is commemorated in france,P1956,france,exercised at,an date,calendar day,is commemorated in,france
0,irving first played hamlet,author wrote hamlet,P1627,irving,first played,hamlet,author,wrote,hamlet
0,rome was held by a feeble tie,clothing was worn in rome,P3043,rome,was held by,a feeble tie,clothing,was worn in,rome
0,another son had emigrated to australia,person discovered australia,P8156,another son,had emigrated to,australia,person,discovered,australia
0,delaware voted in favor of independence,territory is bigger than delaware,P15308,delaware,voted in favor of,independence,territory,is bigger than,delaware
0,horns are among mammals,animal has horns,P504,horns,are among,mammals,animal,has,horns
1,voltaire was soon at war,person fought in a war,P8458,voltaire,was soon at,war,person,fought in,a war
0,birds fluttered through these absurd trees,plant life is consumed by birds,P14084,birds,fluttered through,these absurd trees,plant life,is consumed by,birds
0,servants fetch food,worker prepares food,P16208,servants,fetch,food,worker,prepares,food
1,secondary follicles produce amounts of hormones,body part secretes hormones,P1869,secondary follicles,produce amounts of,hormones,body part,secretes,hormones
0,mauritania lies on the coast of africa,african country is the largest in africa,P82,mauritania,lies on the coast of,africa,african country,is the largest in,africa
1,bulgaria joined the warsaw pact,european country was part of the warsaw pact,P5118,bulgaria,joined,the warsaw pact,european country,was part of,the warsaw pact
0,cartagena was sacked by francis drake,territory was discovered by francis drake,P15549,cartagena,was sacked by,francis drake,territory,was discovered by,francis drake
0,china includes burma,asian country is a neighbor of china,P1361,china,includes,burma,asian country,is a neighbor of,china
1,gutenberg developed the printing press,device was invented by gutenberg,P4041,gutenberg,developed,the printing press,device,was invented by,gutenberg
0,the workman may be ignorant of science,person contributed to science,P7639,the workman,may be ignorant of,science,person,contributed to,science
1,napoleon had been defeated at waterloo,person was defeated at waterloo,P12769,napoleon,had been defeated at,waterloo,person,was defeated at,waterloo
0,mass is often confused with weight,unit measures mass,P15722,mass,is often confused with,weight,unit,measures,mass
0,saccharin has been used in place of sugar,food includes sugar,P5294,saccharin,has been used in place of,sugar,food,includes,sugar
0,the flapper called him to the telephone,person invented the telephone,P9247,the flapper,called him to,the telephone,person,invented,the telephone
0,pluto was shown to have a moon,celestial body can be seen from the moon,P2013,pluto,was shown to have,a moon,celestial body,can be seen from,the moon
0,golden lotus poured out a cup of wine,plant life is used to make wine,P14336,golden lotus,poured out a cup of,wine,plant life,is used to make,wine
0,birds had built in a pear tree,plant life is consumed by birds,P14094,birds,had built in,a pear tree,plant life,is consumed by,birds
1,acyclovir is the treatment for infections,drug cures infections,P4357,acyclovir,is the treatment for,infections,drug,cures,infections
0,hungary joined the council of europe,european country is the largest in europe,P5147,hungary,joined the council of,europe,european country,is the largest in,europe
1,china governed by female sovereigns,person controlled china,P7781,china,governed by,female sovereigns,person,controlled,china
0,rye furnished the bread,plant life is used to make bread,P14285,rye,furnished,the bread,plant life,is used to make,bread
1,madison is known as the father of the constitution,person drafted the constitution,P8208,madison,is known as the father of,the constitution,person,drafted,the constitution
0,saccharin has been used as a substitute for sugar,food includes sugar,P5285,saccharin,has been used as a substitute for,sugar,food,includes,sugar
0,jews were present at waterloo,person was defeated at waterloo,P12772,jews,were present at,waterloo,person,was defeated at,waterloo
0,cigarettes will give me cancer,drug kills cancer,P4534,cigarettes,will give me,cancer,drug,kills,cancer
0,a rocket going up sounds,vehicle is faster than sound,P16115,a rocket,going up,sounds,vehicle,is faster than,sound
