GoldLabel,Premise,Hypothesis,PairID,PremiseSubj,PremiseRel,PremiseObj,HypothesisSubj,HypothesisRel,HypothesisObj
entailment,A small girl blows a whistle.,A small girl is making a loud noise.,540721368.jpg#3r1e,A small girl,blows,a whistle,A small girl,is making,a loud noise
neutral,Two dogs playing outdoors,The dogs are playing fetch.,2040941056.jpg#4r2n,Two dogs,playing,outdoors,The dogs,are playing,fetch
contradiction,Red was glad to.,Red was unhappy to.,144375c,Red,was,glad to,Red,was,unhappy to
entailment,A biker performs before a crowd.,People are watching a someone performing.,3268908792.jpg#4r1e,A biker,performs,before a crowd,People,are watching,a someone performing
entailment,the mall is full of shoppers.,The mall is open.,472298482.jpg#4r1e,the mall,is,full of shoppers,The mall,is,open
entailment,Women are performing during a parade.,People are participating in a parade.,7925149144.jpg#4r1e,Women,are performing,during a parade,People,are participating,in a parade
entailment,Two young children enjoy the snow.,Two children are outside.,3104690333.jpg#3r1e,Two young children,enjoy,the snow,Two children,are,outside
neutral,a boy runs through the grass.,A boy flees the angry dog.,2201192417.jpg#4r1n,a boy,runs,through the grass,A boy,flees,the angry dog
entailment,A child plays soccer.,A child is playing sports.,2936707421.jpg#4r1e,A child,plays,soccer,A child,is playing,sports
entailment,2 people fighting with training swords,Two people are play fighting.,2978559645.jpg#3r1e,2 people,fighting,with training swords,Two people,are play,fighting
contradiction,A little girl eating a sucker.,A little girl is eating a hot dog.,3182490419.jpg#4r1c,A little girl,eating,a sucker,A little girl,is eating,a hot dog
entailment,A snowboarder riding downhill,The snowboarder has a snowboard.,3452982513.jpg#3r3e,A snowboarder,riding,downhill,The snowboarder,has,a snowboard
neutral,Three black dogs are on a beach.,Three dogs are running on a beach.,2809793070.jpg#3r1n,Three black dogs,are,on a beach,Three dogs,are running,on a beach
entailment,The two men are enjoying the weather.,Two men are enjoying the outside air.,3690220248.jpg#4r1e,The two men,are enjoying,the weather,Two men,are enjoying,the outside air
contradiction,A brown dog runs through a field.,The brown dog sits on the couch.,2629295654.jpg#2r2c,A brown dog,runs,through a field,The brown dog,sits,on the couch
contradiction,A young girl wearing a pink tutu.,A young man wearing a pink tutu.,3665996775.jpg#4r1c,A young girl,wearing,a pink tutu,A young man,wearing,a pink tutu
contradiction,The theme changes each year.,The theme has remain constant. ,47031c,The theme,changes,each year,The theme,has remain,constant
neutral,Almost all stores are closed on Sundays.,All stores are open on weekdays.,53652n,Almost all stores,are,closed on Sundays,All stores,are,open on weekdays
contradiction,A woman playing a saxophone.,A man is playing a harmonica.,4837452125.jpg#4r1c,A woman,playing,a saxophone,A man,is playing,a harmonica
contradiction,Two men are wrestling in a gym.,A few men are eating lunch.,156205911.jpg#4r2c,Two men,are wrestling,in a gym,A few men,are eating,lunch
entailment,"All expenses paid, remember. Hop in.","You do not have to pay a thing, remember. Jump in.",96649e,All expenses paid,remember,Hop in,You,to pay,a thing
neutral,A scientist is looking into his microscope.,A scientist is trying to cure cancer.,5429241344.jpg#4r1n,A scientist,is looking,into his microscope,A scientist,is trying,to cure cancer
contradiction,A brown dog carrying a black object.,The dog has nothing with him,1394396709.jpg#3r1c,A brown dog,carrying,a black object,The dog,has,nothing with him
entailment,Doctors are performing surgery.,The doctors were doing a surgical procedure.,6300225700.jpg#4r1e,Doctors,are performing,surgery,The doctors,were doing,a surgical procedure
neutral,Group practices some cultural dances.,Cultural dances are being performed at a competition.,2944553914.jpg#4r1n,Group,practices,some cultural dances,Cultural dances,are being performed,at a competition
entailment,People crossing a busy street.,The people crossed the street.,4878343799.jpg#4r1e,People,crossing,a busy street,The people,crossed,the street
contradiction,Two dogs playing on the beach.,The dogs sit lazily on the couch.,2056042552.jpg#3r2c,Two dogs,playing,on the beach,The dogs,sit lazily,on the couch
neutral,Two men standing near a dog.,The dog is wearing a collar.,35505698.jpg#4r1n,Two men,standing,near a dog,The dog,is wearing,a collar
contradiction,A woman trying to create an ice scripture.,A woman drawing a art.,4043883681.jpg#3r1c,A woman,trying to create,an ice scripture,A woman,drawing,a art
neutral,A dog attacking a guy.,A dog is biting a man's ankle,2335634931.jpg#4r1n,A dog,attacking,a guy,A dog,is biting,a man's ankle
entailment,Tommy smiled at them encouragingly.,Tommy offered an encouraging grin.,79729e,Tommy,smiled encouragingly,at them,Tommy,offered,an encouraging grin
entailment,Two individuals are standing on playground equipment.,Two people are on equipment,29337734.jpg#2r1e,Two individuals,are standing,on playground equipment,Two people,are,on equipment
neutral,i hate to,It makes me feel sick,67834n,i,hate,to,It,makes,me feel sick
entailment,Sister hugging her brother.,A girl is hugging a boy.,3249624518.jpg#4r1e,Sister,hugging,her brother,A girl,is hugging,a boy
entailment,Two men are putting up a shelter.,two men put up shelter,3772503225.jpg#3r1e,Two men,are putting up,a shelter,two men,put up,shelter
neutral,A group onlooking a horseback rider.,The horseback rider is in a rodeo,6212276876.jpg#4r1n,A group,onlooking,a horseback rider,The horseback rider,is,in a rodeo
entailment,many people walk through the store.,People are walking through the store,440190907.jpg#3r1e,many people,walk,through the store,People,are walking,through the store
contradiction,A black man playing a Yamaha keyboard.,The man is white,3186668412.jpg#3r1c,A black man,playing,a Yamaha keyboard,The man,is,white
