GoldLabel,Premise,Hypothesis,PairID,PremiseSubj,PremiseRel,PremiseObj,HypothesisSubj,HypothesisRel,HypothesisObj
entailment,A small dog bites a ladies fingers.,A small dog playfully nibbles its owner.,2922222717.jpg#3r1e,A small dog,bites,a ladies fingers,A small dog,playfully nibbles,its owner
contradiction,Women standing outside to use the potty.,The women are sitting on a bench.,2647062476.jpg#3r1c,Women standing outside,to use,the potty,The women,are sitting,on a bench
contradiction,A white dog runs on brown grass.,A cat runs after a bird.,2505465055.jpg#4r1c,A white dog,runs,on brown grass,A cat,runs,after a bird
contradiction,Activist groups are dubious.,I fully trust in activist groups.,115726c,Activist groups,are,dubious,I,fully trust,in activist groups
contradiction,little girl playing racing arcade game,She is playing outside.,5701786491.jpg#4r1c,little girl,playing,racing arcade game,She,is playing,outside
entailment,Two Asian chefs grilling up a full meal.,Two cooks make a meal.,4045265278.jpg#3r1e,Two Asian chefs,grilling up,a full meal,Two cooks,make,a meal
neutral,A young boy crawls with a toddler.,Two brothers are close in age.,1580172290.jpg#2r1n,A young boy,crawls,with a toddler,Two brothers,are,close in age
neutral,a large woman stands in the street.,She is waiting for a friend.,2574509968.jpg#3r1n,a large woman,stands,in the street,She,is waiting,for a friend
entailment,A train conductor holding a bag.,A person holding a bag.,4274035185.jpg#4r1e,A train conductor,holding,a bag,A person,holding,a bag
neutral,Two puppies pulling on a string.,Two puppies are playing tug-of-war.,3563924606.jpg#3r1n,Two puppies,pulling,on a string,Two puppies,are playing,tug-of-war
contradiction,A man is playing a musical instrument.,A man is walking his dog.,574793535.jpg#4r1c,A man,is playing,a musical instrument,A man,is walking,his dog
contradiction,Young men listen to a presentation.,Old women playing cards,377213364.jpg#4r1c,Young men,listen,to a presentation,Old women,playing,cards
contradiction,A woman is soldering an electronic device.,The woman is taking a bath.,5069106250.jpg#4r3c,A woman,is soldering,an electronic device,The woman,is taking,a bath
entailment,"They're not, said Susan.",Susan said they're not.,14291e,They're not,said,Susan,Susan,said,they're not
entailment,Two people are hang gliding.,Two humans are in the air.,3413806271.jpg#4r1e,Two people,are,hang gliding,Two humans,are,in the air
contradiction,Dog sits on hurdles.,a dog is running next to hurdles,2682194299.jpg#4r1c,Dog,sits,on hurdles,a dog,is running,next to hurdles
contradiction,Two different teams are playing rugby.,Two teams playing football,7718342644.jpg#4r1c,Two different teams,are playing,rugby,Two teams,playing,football
entailment,Woman trying to punch man.,A person trying to punch someone else.,2700788458.jpg#4r1e,Woman,trying,to punch man,A person,trying to punch,someone else
neutral,Five friends enjoy a party.,Five friends enjoy the graduation party.,4418466422.jpg#4r1n,Five friends,enjoy,a party,Five friends,enjoy,the graduation party
neutral,Three young children holding basketballs.,Children learning to play,32628083.jpg#4r1n,Three young children,holding,basketballs,Children,learning,to play
contradiction,A motorcyclist navigates a forest trail.,A dog is licking his paws.,3263395801.jpg#3r1c,A motorcyclist,navigates,a forest trail,A dog,is licking,his paws
contradiction,Two guys sorting through some items.,The men are watching a football game.,1021439420.jpg#4r2c,Two guys,sorting,through some items,The men,are watching,a football game
entailment,A dog is running along the grass.,An animal is outdoors.,2555535057.jpg#3r1e,A dog,is running,along the grass,An animal,is,outdoors
entailment,Homeless man living among the construction.,A homeless man living outdoors.,4951888006.jpg#2r2e,Homeless man,living,among the construction,A homeless man,living,outdoors
neutral,a cook selling his goods.,He is selling steaks.,4944215863.jpg#4r1n,a cook,selling,his goods,He,is selling,steaks
entailment,An elderly man is sitting on a bench.,An elderly man is sitting on a bench,446286714.jpg#4r1e,An elderly man,is sitting,on a bench,An elderly man,is sitting,on a bench
neutral,Two kids playing on playground equipment.,The kids know eachother.,2562483332.jpg#3r1n,Two kids,playing,on playground equipment,The kids,know,eachother
neutral,A protester is standing with a sign.,A woman holds a sign,4533797732.jpg#2r1n,A protester,is standing,with a sign,A woman,holds,a sign
entailment,Friends are showing off a new drink.,People showing off a beverage.,6152180229.jpg#3r1e,Friends,are showing off,a new drink,People,showing off,a beverage
entailment,This sector does not contain any advertising mail.,Advertising mail isn't included in this sector.,15738e,This sector,does not contain,any advertising mail,Advertising mail,is n't included,in this sector
neutral,The band is performing outside.,The band is performing at a festival.,5415557808.jpg#4r1n,The band,is performing,outside,The band,is performing,at a festival
entailment,Drew faced about.,Drew turned around.,55836e,Drew,faced,about,Drew,turned,around
entailment,Olympic soccer players are playing a match.,Olympic soccer players are playing Soccer.,7652712058.jpg#4r1e,Olympic soccer players,are playing,a match,Olympic soccer players,are playing,Soccer
entailment,Two dogs play in the water.,The dogs are wet.,481827288.jpg#4r2e,Two dogs,play,in the water,The dogs,are,wet
contradiction,Three dogs racing madly around a racetrack.,Several dogs walk around a path.,2559114800.jpg#0r2c,Three dogs,racing madly,around a racetrack,Several dogs,walk,around a path
contradiction,A young boy is running a race.,Bill took a test.,2188192752.jpg#4r1c,A young boy,is running,a race,Bill,took,a test
contradiction,Blond woman singing on stage.,blond woman teaching on stage,6179396322.jpg#4r1c,Blond woman,singing,on stage,blond woman,teaching,on stage
entailment,An Asian boy is leaning against a pole.,The child is leaning against the pole,2104009548.jpg#3r1e,An Asian boy,is leaning,against a pole,The child,is leaning,against the pole
entailment,A brown dog is biting a black dog.,Two dogs are near each other.,3486538055.jpg#4r5e,A brown dog,is biting,a black dog,Two dogs,are,near each other
entailment,A man standing at a directory.,A man looking at directions.,4698972894.jpg#4r1e,A man,standing,at a directory,A man,looking,at directions
contradiction,A rock band playing a live concert.,A band packing up their gear.,6730143407.jpg#3r1c,A rock band,playing,a live concert,A band,packing up,their gear
entailment,A woman selling her homemade products.,A woman is selling stuff.,3827301652.jpg#4r1e,A woman,selling,her homemade products,A woman,is selling,stuff
contradiction,A little boy is walking down the street.,A man is sitting whole day.,3671612380.jpg#3r1c,A little boy,is walking,down the street,A man,is sitting,whole day
entailment,Two people are walking through the woods.,Two people are walking outside.,446907949.jpg#3r1e,Two people,are walking,through the woods,Two people,are walking,outside
entailment,A little girl is showing her brother affection.,Girl showing her brother affection.,150650816.jpg#3r1e,A little girl,is showing,her brother affection,Girl,showing,her brother affection
neutral,two small girls walk along the leaves.,The girls are walking to the park.,3036382555.jpg#3r1n,two small girls,walk,along the leaves,The girls,are walking,to the park
entailment," ""An' jus' why?""Anse demanded.",Anse is asking a question.,72084e,An' jus' why,demanded,Anse,Anse,is asking,a question
