GoldLabel,Premise,Hypothesis,PairID,PremiseSubj,PremiseRel,PremiseObj,HypothesisSubj,HypothesisRel,HypothesisObj
contradiction,The bride is standing outside.,The bride is trying on her dress.,2286235203.jpg#4r1c,The bride,is standing,outside,The bride,is trying,on her dress
entailment,The leaves deadened their footsteps.,Their footfalls were squelched by the leaves.  ,2173e,The leaves,deadened,their footsteps,Their footfalls,were squelched,by the leaves
entailment,little girl standing on a wall,The girl is standing on a wall.,244799313.jpg#4r1e,little girl,standing,on a wall,The girl,is standing,on a wall
neutral,An elderly woman is making pancakes.,Grandma is making me breakfast.,132523566.jpg#3r1n,An elderly woman,is making,pancakes,Grandma,is making,me breakfast
contradiction,The bar was a dump.,The bar looked upscale.,136906c,The bar,was,a dump,The bar,looked,upscale
entailment,A snarling dog approaches a hissing cat.,The dog is near the cat.,124972799.jpg#4r1e,A snarling dog,approaches,a hissing cat,The dog,is,near the cat
entailment,Two children play together in the street.,The kids are playing in the road.,233169292.jpg#3r1e,Two children,play together,in the street,The kids,are playing,in the road
entailment,Two persons repairing their bicycle.,Two people fix a bicycle.,1595227547.jpg#3r3e,Two persons,repairing,their bicycle,Two people,fix,a bicycle
entailment,A little girl runs through the yard.,A female is outside.,2592019072.jpg#4r1e,A little girl,runs,through the yard,A female,is,outside
neutral,Three people are in the snow.,It is winter.,3170551725.jpg#4r1n,Three people,are,in the snow,It,is,winter
contradiction,Children play in water fountains.,a man is drinking from the fountain,4798971292.jpg#4r1c,Children,play,in water fountains,a man,is drinking,from the fountain
neutral,Women wearing rollerskates sit on the floor.,The women rollerskating are professional skaters.,1131889107.jpg#3r1n,Women wearing rollerskates,sit,on the floor,The women rollerskating,are,professional skaters
neutral,It was too bad.,I was expecting something else.,30333n,It,was,too bad,I,was expecting,something else
entailment,A girl jumping in a puddle.,A girl playing in water.,557721978.jpg#4r1e,A girl,jumping,in a puddle,A girl,playing,in water
neutral,A man sitting at a computer.,The man is shopping on Amazon.,2999087100.jpg#4r1n,A man,sitting,at a computer,The man,is shopping,on Amazon
neutral,A man kayaks in wavy water.,A man is on vacation kayaking.,482088914.jpg#4r1n,A man,kayaks,in wavy water,A man,is,on vacation kayaking
entailment,I was even bested by a woman.,A woman beat me.,59107e,I,was even bested,by a woman,A woman,beat,me
entailment,A bearded man holding a sign.,the man has a side,318667317.jpg#4r1e,A bearded man,holding,a sign,the man,has,a side
neutral,A woman washing a big dog.,The dogs is covered with shampoo.,95017523.jpg#4r1n,A woman,washing,a big dog,The dogs,is covered,with shampoo
entailment,A man is videotaping something.,The man has a camera.,3089107423.jpg#4r1e,A man,is videotaping,something,The man,has,a camera
contradiction,Black dog rolls head in grass.,Black cat rolls head in grass.,3373946160.jpg#4r1c,Black dog rolls,head,in grass,Black cat rolls,head,in grass
entailment,A brown dog runs in the sand.,The dog is brown,2953861572.jpg#4r1e,A brown dog,runs,in the sand,The dog,is,brown
contradiction,A black dog is running in the grass.,The white dog is running in the grass.,2501742763.jpg#3r1c,A black dog,is running,in the grass,The white dog,is running,in the grass
entailment,The person is standing in the boat.,The man is on a boat,4761326634.jpg#3r1e,The person,is standing,in the boat,The man,is,on a boat
entailment,A young girl poses by the water.,The young girl posed by the water.,481216325.jpg#4r1e,A young girl,poses,by the water,The young girl,posed,by the water
entailment,A blond woman is walking on the street.,The person walking on the road has light colored hair.,4472750626.jpg#3r1e,A blond woman,is walking,on the street,The person,walking,on the road
entailment,"Beyond the election, the parallels may break down.",After the election the paralels may break. ,91689e,the parallels,may break down,Beyond the election,the paralels,may break,After the election
neutral,A trailer hitch is holding a large contraption.,the child was happy`,4897113571.jpg#3r1n,A trailer hitch,is holding,a large contraption,the child,was,happy
neutral,People eating around a table.,The people are celebrating Thanksgiving.,218004295.jpg#4r1n,People,eating,around a table,The people,are celebrating,Thanksgiving
contradiction,Two men are sitting on a bench.,Two men sit on the couch.,4814925710.jpg#4r1c,Two men,are sitting,on a bench,Two men,sit,on the couch
entailment,Two men painting a support wall.,The men are near the wall.,4959266823.jpg#3r1e,Two men,painting,a support wall,The men,are,near the wall
entailment,A woman fixes someone's shoes.,A woman is near shoes.,3205214191.jpg#4r1e,A woman,fixes,someone's shoes,A woman,is,near shoes
